VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
480,BACARDI USA INC,3851,Grey Goose Vodka,12.02,15.99,375.0,20841,250508.82,18680.0,276184.2,119430.87,7338.58,89286.27,25675.380000000005,9.296469530117944,0.8963101578619068,1.1024929182134187
3664,WILLIAM GRANT & SONS INC,8480,Clan MacGregor,11.19,14.99,1750.0,22379,250421.01,19940.0,305857.6,123351.56999999999,36638.95,30234.420000000002,55436.58999999997,18.12496730504652,0.8910138969569685,1.221373558073262
17035,PERNOD RICARD USA,2645,Chivas Regal,21.89,31.99,750.0,11427,250137.03,8972.0,281754.27999999997,171703.52,7069.59,123780.22,31617.24999999997,11.221568666144123,0.7851579592193927,1.1263997177866867
3089,SIDNEY FRANK IMPORTING CO,812,Jagermeister Liqueur,17.03,22.99,1000.0,14663,249710.89,12986.0,282170.14,137565.96,13635.300000000001,8549.55,32459.25,11.503431936490516,0.8856304985337243,1.1299873225392774
1392,CONSTELLATION BRANDS INC,40097,Black Box Chard,10.59,16.99,3000.0,23567,249574.53,22209.0,401980.91,170916.93,9994.050000000001,79528.99,152406.37999999998,37.91383526148045,0.9423770526583782,1.610664798206772
9552,M S WALKER INC,40425,Mionetto Prosecco Brut,6.42,13.99,750.0,38456,246887.52,29222.0,365547.82,101996.69,3273.04,55551.82,118660.30000000002,32.46095134694006,0.7598814229249012,1.4806249420788868
12546,JIM BEAM BRANDS COMPANY,3696,Gilbeys Vodka,7.6,10.49,1750.0,32485,246886.0,30290.0,321540.6,132894.33000000002,55650.909999999996,123880.97,74654.59999999998,23.21778338412007,0.932430352470371,1.302384906394044
8112,MOET HENNESSY USA INC,821,Grand Marnier,27.99,38.99,1000.0,8781,245780.19,7941.0,304903.59,173614.92,8338.050000000001,48347.26,59123.40000000002,19.39085072760213,0.9043389135633755,1.2405539681615512
12546,JIM BEAM BRANDS COMPANY,2788,Laphroaig 10 Yr Single Malt,31.24,44.99,750.0,7861,245577.63999999998,6589.0,300139.11,198356.56,5192.26,123880.97,54561.47,18.178727190868262,0.8381885256328712,1.2221760499042176
1128,BROWN-FORMAN CORP,171,Gentleman Jack,36.76,49.99,1750.0,6664,244968.64,5894.0,303401.06,214843.4,10834.52,68601.68,58432.419999999984,19.25913508673964,0.884453781512605,1.2385302053356706
480,BACARDI USA INC,3436,Bombay Dry Gin,18.79,26.99,1750.0,12950,243330.5,11258.0,291907.42,170093.62,20689.46,89286.27,48576.919999999984,16.641207681531352,0.8693436293436293,1.1996335025818794
4425,MARTIGNETTI COMPANIES,39335,Phillips Seven Deadly Znfdl,8.75,14.99,750.0,27503,240651.25,24124.0,334601.72,118231.69,2698.2200000000003,144929.24,93950.46999999997,28.07829858137011,0.8771406755626658,1.3904009224967664
12546,JIM BEAM BRANDS COMPANY,4678,Courvoisier VS Cognac,16.78,24.99,750.0,14303,240004.34000000003,12882.0,298037.18,150321.22999999998,10146.97,123880.97,58032.83999999997,19.471677996684832,0.9006502132419772,1.2417991274657783
4425,MARTIGNETTI COMPANIES,32826,Rombauer Carneros Chard,22.41,34.99,750.0,10641,238464.81,9251.0,314583.17,115224.87000000001,1033.54,144929.24,76118.35999999999,24.196577331203063,0.86937317921248,1.3192016465657972
3960,DIAGEO NORTH AMERICA INC,2748,Johnnie Walker Blue Label,240.59,319.99,1750.0,991,238424.69,781.0,250312.19,188004.17,1435.76,257032.07,11887.5,4.749069551906361,0.7880928355196771,1.0498585108782148
1128,BROWN-FORMAN CORP,8526,Chambord Royale de France,20.43,27.99,750.0,11634,237682.62,11149.0,318876.51,202571.27,8783.15,68601.68,81193.89000000001,25.46248702985366,0.958311844593433,1.3416063404215253
8112,MOET HENNESSY USA INC,115,Belvedere Vodka,21.37,27.99,1000.0,11119,237613.03,9083.0,254233.16999999998,123491.87999999999,9537.15,48347.26,16620.139999999985,6.537360958839472,0.816890008094253,1.0699462483181161
3960,DIAGEO NORTH AMERICA INC,4734,Capt Morgan Cannon Blast,11.9,16.99,750.0,19847,236179.30000000002,16545.0,249241.55,126392.2,13029.94,257032.07,13062.24999999997,5.2407995376372725,0.8336272484506475,1.055306498071592
1392,CONSTELLATION BRANDS INC,8498,R M Woodbridge Svgn Bl Cal,5.84,8.99,1500.0,40293,235311.12,36465.0,370763.35,115724.41,8184.45,79528.99,135452.22999999998,36.53333858376239,0.904995904995905,1.5756303824485642
